gene,logfoldchange,adj_p_value,T.4N_Nr4a1_percent,other_percent
Ppil2,-0.11726122,0.75380108192077,0.26998841251448435,0.26508873195532767
Mettl8,-0.34199122,0.7524703877212795,0.044860122496275454,0.053282168692829424
Fbxo18,-0.32273793,0.751764002050633,0.050322794239364345,0.058592112476218115
Ebp,-0.13129836,0.751241860555939,0.20973348783314022,0.21104339320456184
Zfp110,-0.16242565,0.751241860555939,0.13938089720244992,0.14514204637064268
5830432E09Rik,-0.5241352,0.7500959944256542,0.025989074656513823,0.034632872206636356
Safb,-0.122712515,0.7478423222613519,0.2213209733487833,0.22300689002826954
Ndufb3,-0.046685394,0.7465911152839214,0.4378414169839431,0.42422581234615675
Mgat4a,-0.46112713,0.7441246339545893,0.027147823208078133,0.035868992723012263
Diaph1,-0.0991167,0.7439843145102725,0.2572421784472769,0.2582202014338998
Mrpl18,-0.063202,0.7424257364542596,0.3739447111405396,0.36254877301602656
Cdk19,-0.28057906,0.7416819359111121,0.06141367323290846,0.06963120613115777
C730034F03Rik,-0.3799297,0.7409065488584973,0.04254262539314683,0.05100340739307557
Manea,-0.6561353,0.7403296071418781,0.019036583347127958,0.027796588307374803
Faah,-0.12745665,0.7403296071418781,0.2229763284224466,0.22452248127008695
Ankfy1,-0.27351424,0.7390129296942063,0.07498758483694752,0.08268033923446519
D3Ertd751e,-0.42532986,0.738466840884145,0.032776030458533355,0.041458407231842465
Fam160a2,-0.33979014,0.7382430861529715,0.04800529713623572,0.05645308653918502
Gbp6,-0.5210791,0.738175197274265,0.02400264856811786,0.03278406586910021
Trbc1,-0.08719647,0.7378825064848142,0.32593941400430393,0.3249169649479217
Trps1,-0.7536599,0.7345217148422541,0.015229266677702366,0.024055980136080745
Spryd7,-0.3325303,0.7334624525466299,0.054461181923522596,0.06270893123945266
Pdk2,-0.5390381,0.7330469168597086,0.025161397119682172,0.03391269764492169
Napepld,-0.78391147,0.732584830474721,0.014401589140870717,0.023249814581922542
Anxa7,-0.2101131,0.7322219168573969,0.11637146167853005,0.1225156664839358
Ccdc47,-0.13452014,0.7295542798744039,0.21602383711306075,0.21775069061515806
Trafd1,-0.36283064,0.7285063288975515,0.04436351597417646,0.05293820472305526
Dhx40,-0.1605196,0.7237839585272884,0.16023837113060752,0.16526393860243138
Vmac,-0.40146017,0.7228714977479886,0.03873530872372124,0.0474347812066686
Ly75,-0.1634078,0.7172475948190281,0.1496440986591624,0.15526748573086968
Bod1l,-0.12427953,0.7152113378688312,0.22910114219500083,0.2309288102071308
Pcca,-0.2616543,0.7149654981812653,0.07995365005793743,0.08773231004052326
Orc5,-0.19312094,0.7149654981812653,0.1261380566131435,0.13229714187438865
Il18bp,-1.1019056,0.7138862277823658,0.007614633338851183,0.016671503659991614
Mindy1,-0.4173872,0.7137425902699691,0.03310710147326602,0.04202809755678093
Sel1l,-0.19800729,0.7084030175178823,0.13027644429730176,0.13604849891973816
Mitf,-0.65223414,0.7084030175178823,0.019036583347127958,0.02806531015876087
Tulp3,-0.5250668,0.708238252711146,0.029961926833305744,0.03881418421420356
Fam76a,-0.25177947,0.7067311783898862,0.08938917397781825,0.09694409510603764
Zfp217,-0.3415525,0.7065336285893361,0.04982618771726535,0.05840938161727559
Zfp292,-0.09343918,0.7062706765191554,0.29746730673729516,0.296636677308052
Mdp1,-0.08487803,0.7059466985036496,0.3269326270485019,0.32080014618468716
Pde4dip,-0.23283358,0.7043374465487187,0.08194007614633339,0.09007556458460976
Sema4b,-0.20596015,0.7039844410999869,0.08359543121999669,0.09206410628486666
Slc31a2,-0.5011546,0.7005588699903338,0.028472107267008773,0.037470574957273226
Gpr180,-0.5855538,0.6988040428748258,0.024499255090216852,0.03351498930487031
Iqce,-0.4032789,0.6979992286574946,0.039562986260552886,0.04842367761976933
Gbp9,-0.11991643,0.6966538032393464,0.21602383711306075,0.22029817376629798
Ubn1,-0.08621939,0.6966538032393464,0.3027644429730177,0.30073199832317565
Smurf1,-0.63532835,0.695263638946951,0.02218175798708823,0.03125772575322735
Rfx3,-0.35939312,0.695263638946951,0.055619930475086905,0.06414928036288199
Tmem268,-0.3139083,0.6948394937421125,0.050157258731998014,0.059032816312491264
Gm14455,-0.4750197,0.6945144039636361,0.028803178281741434,0.03792202766760182
Rab11fip2,-0.52138186,0.6915519351484269,0.027313358715444463,0.0364064364257844
Ap3d1,-0.18653658,0.6915087055241194,0.1330905479225294,0.13941289649909172
Pigv,-0.26161018,0.6879255178600813,0.06340009932130442,0.07212494491202047
Pygo2,-0.20694758,0.6868744723327951,0.09981791094189704,0.10762847591714768
Fchsd2,-0.15728724,0.6861082056155687,0.13772554212878663,0.14475508690464675
Igbp1,-0.13223474,0.6859564325960109,0.1936765436186062,0.1967903862070448
Cyb561a3,-0.35735872,0.6856514061136281,0.04684654858467141,0.05571141422935948
